Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Distance,Total Descent,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Cycling,2024-01-03 16:26:39,false,"Urbandale Cycling","21.31","498","00:50:16","159","188","--","--","25.4","36.9","22","68","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:32.54","5","0.0","21.31","68","00:49:44","00:50:53","232","292"
Cycling,2024-01-03 05:07:13,false,"Des Moines Cycling","20.76","529","00:50:16","165","187","--","--","24.8","35.5","75","32","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:50.51","5","0.0","20.76","32","00:50:13","00:50:16","238","292"
Cycling,2023-12-31 20:22:25,false,"Des Moines Cycling","16.00","239","00:37:30","126","169","--","--","25.6","37.0","65","66","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:51.12","4","0.0","16.00","66","00:37:17","00:39:01","232","258"
Cycling,2023-12-22 15:12:17,false,"Urbandale Cycling","21.40","404","00:49:19","144","172","--","--","26.0","40.6","33","76","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:59.21","5","0.0","21.40","76","00:49:09","00:50:18","232","292"
Cycling,2023-12-22 04:46:36,false,"Des Moines Cycling","20.98","404","00:50:05","142","159","--","--","25.1","37.9","73","25","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:03.53","5","0.0","20.98","25","00:49:09","00:50:05","238","292"
Cycling,2023-12-21 17:23:28,false,"Johnston Cycling","20.12","337","00:45:25","136","176","--","--","26.6","36.4","30","59","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:35.84","5","0.0","20.12","59","00:45:14","00:46:19","232","274"
Cycling,2023-12-21 15:02:55,false,"Urbandale Cycling","4.31","62","00:10:28","117","155","--","--","24.7","35.7","14","33","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","10:28.48","1","0.0","4.31","33","00:10:17","00:11:18","268","298"
Cycling,2023-12-21 05:55:40,false,"Des Moines Cycling","18.38","298","00:44:34","131","172","--","--","24.7","41.5","112","67","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:13.14","4","0.0","18.38","67","00:44:19","00:46:44","247","298"
Cycling,2023-12-20 15:26:17,false,"Des Moines Cycling","1.49","17","00:04:07.2","100","122","--","--","21.7","32.5","8","--","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:07.20","1","0.0","1.49","--","00:03:52","00:05:36.2","247","257"
Cycling,2023-12-20 14:13:55,false,"Urbandale Cycling","21.44","400","00:49:11","142","165","--","--","26.2","37.5","24","69","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:51.39","5","0.0","21.44","69","00:48:44","00:50:48","232","292"
Cycling,2023-12-20 05:31:10,false,"Des Moines Cycling","21.38","412","00:52:33","142","171","--","--","24.4","36.5","193","155","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:01.36","5","0.0","21.38","155","00:52:22","00:52:39","238","347"
Cycling,2023-12-19 17:12:10,false,"Johnston Cycling","20.13","407","00:48:14","144","181","--","--","25.0","33.4","33","62","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:29.75","5","0.0","20.13","62","00:48:03","00:49:29","232","275"
Cycling,2023-12-19 14:52:08,false,"Urbandale Cycling","4.30","74","00:09:57.5","130","162","--","--","25.9","40.7","14","30","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:57.50","1","0.0","4.30","30","00:09:46","00:10:43","274","298"
Cycling,2023-12-19 05:47:04,false,"Des Moines Cycling","18.36","427","00:45:49","155","184","--","--","24.0","35.2","119","151","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:52.78","4","0.0","18.36","151","00:45:32","00:46:00","247","323"
Cycling,2023-12-18 16:46:36,false,"Urbandale Cycling","21.08","445","00:54:18","145","162","--","--","23.3","36.5","34","71","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:25.37","5","0.0","21.08","71","00:53:51","00:59:03","232","292"
Cycling,2023-12-18 05:22:08,false,"Des Moines Cycling","21.30","610","01:03:13","160","176","--","--","20.2","28.1","210","169","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:52.38","5","0.0","21.30","169","01:02:34","01:09:03","238","331"
Cycling,2023-12-15 16:03:30,false,"Urbandale Cycling","21.13","210","00:47:06","111","145","--","--","26.9","41.3","31","70","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:25.45","5","0.0","21.13","70","00:46:48","00:49:16","232","292"
Cycling,2023-12-15 05:34:24,false,"Des Moines Cycling","21.19","403","00:49:51","146","168","--","--","25.5","38.7","78","35","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:33.01","5","0.0","21.19","35","00:49:35","00:50:51","232","292"
Cycling,2023-12-14 04:41:18,false,"Des Moines Cycling","18.40","401","00:47:13","150","174","--","--","23.4","37.0","103","59","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:35.36","4","0.0","18.40","59","00:47:02","00:47:52","247","298"
Cycling,2023-12-13 16:06:47,false,"Des Moines Cycling","15.58","301","00:36:26","143","156","--","--","25.7","37.7","49","50","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","01:39.30","4","0.0","15.58","50","00:35:58","00:40:53","232","258"
Cycling,2023-12-12 17:14:21,false,"Johnston Cycling","20.08","418","00:47:13","153","179","--","--","25.5","33.5","32","62","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:27.11","5","0.0","20.08","62","00:46:59","00:49:18","232","281"
Cycling,2023-12-12 15:04:21,false,"Urbandale Cycling","4.30","90","00:10:41","140","163","--","--","24.1","33.0","13","29","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","10:41.19","1","0.0","4.30","29","00:10:38","00:10:57","274","298"
Cycling,2023-12-12 05:30:40,false,"Des Moines Cycling","18.47","387","00:47:28","146","169","--","--","23.3","33.9","105","62","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:30.94","4","0.0","18.47","62","00:47:22","00:47:42","247","298"
Cycling,2023-12-11 16:58:02,false,"Urbandale Cycling","21.05","400","00:53:01","141","167","--","--","23.8","37.6","29","68","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:21.17","5","0.0","21.05","68","00:52:47","00:54:49","232","292"
Cycling,2023-12-11 05:27:09,false,"Des Moines Cycling","21.33","473","00:53:36","151","173","--","--","23.9","35.1","227","322","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:02.69","5","0.0","21.33","322","00:53:04","00:53:41","238","399"
Cycling,2023-12-08 19:05:31,false,"Des Moines Cycling","13.40","217","00:29:09","136","175","--","--","27.6","48.7","93","92","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","06:58.71","3","0.0","13.40","92","00:28:35","00:32:21","247","298"
Cycling,2023-12-08 17:33:02,false,"Urbandale Cycling","21.47","379","00:49:13","142","173","--","--","26.2","40.8","34","80","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:42.23","5","0.0","21.47","80","00:49:00","00:49:48","232","292"
Cycling,2023-12-08 05:28:08,false,"Des Moines Cycling","21.34","436","00:51:40","147","166","--","--","24.8","36.8","169","130","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:11.81","5","0.0","21.34","130","00:51:26","00:51:57","238","340"
Cycling,2023-12-07 17:24:24,false,"Johnston Cycling","19.51","212","00:45:46","114","143","--","--","25.6","35.1","23","43","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","10:45.64","4","0.0","19.51","43","00:45:33","00:47:19","232","266"
Cycling,2023-12-07 15:06:58,false,"Urbandale Cycling","3.87","74","00:09:16.5","138","166","--","--","25.0","34.8","13","32","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:16.48","1","0.0","3.87","32","00:09:13","00:10:01","262","292"
Cycling,2023-12-07 05:44:52,false,"Des Moines Cycling","18.37","394","00:46:25","149","176","--","--","23.7","35.7","351","308","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:03.10","4","0.0","18.37","308","00:45:59","00:48:16","247","416"
Cycling,2023-12-06 16:13:39,false,"Urbandale Cycling","21.32","337","00:50:52","137","166","--","--","25.1","43.5","29","75","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:53.40","5","0.0","21.32","75","00:50:23","00:56:16","232","292"
Cycling,2023-12-06 05:45:28,false,"Des Moines Cycling","21.19","469","00:53:34","153","169","--","--","23.7","35.7","144","101","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:52.45","5","0.0","21.19","101","00:52:57","00:57:57","238","302"
Cycling,2023-12-05 17:24:57,false,"Johnston Cycling","20.07","229","00:46:58","117","148","--","--","25.6","34.1","29","60","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:21.22","5","0.0","20.07","60","00:46:44","00:48:38","232","276"
Cycling,2023-12-05 15:06:53,false,"Urbandale Cycling","3.86","84","00:09:41.1","143","160","--","--","23.9","31.6","11","32","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:41.13","1","0.0","3.86","32","00:09:34","00:10:05","262","292"
Cycling,2023-12-05 05:25:51,false,"Des Moines Cycling","18.40","404","00:46:27","151","175","--","--","23.8","34.5","106","63","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:05.13","4","0.0","18.40","63","00:46:08","00:47:50","246","298"
Cycling,2023-12-04 16:07:46,false,"Urbandale Cycling","21.43","259","00:51:15","118","152","--","--","25.1","39.5","25","72","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:57.95","5","0.0","21.43","72","00:51:03","00:53:06","232","292"
Cycling,2023-12-04 05:45:33,false,"Des Moines Cycling","21.37","399","00:51:47","143","168","--","--","24.8","34.7","130","208","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:13.62","5","0.0","21.37","208","00:51:31","00:52:08","238","363"
Cycling,2023-12-01 14:51:58,false,"Urbandale Cycling","21.46","383","00:49:29","142","163","--","--","26.0","36.7","62","80","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:41.65","5","0.0","21.46","80","00:49:19","00:50:31","232","292"
Cycling,2023-12-01 05:08:04,false,"Des Moines Cycling","21.32","451","00:52:29","151","175","--","--","24.4","35.8","73","95","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:43.44","5","0.0","21.32","95","00:52:15","00:52:40","232","313"
Cycling,2023-11-30 14:59:24,false,"Urbandale Cycling","3.50","32","00:08:40.9","96","120","--","--","24.2","33.2","12","26","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:40.93","1","0.0","3.50","26","00:08:39","00:09:32.9","262","292"
Cycling,2023-11-30 05:19:15,false,"Des Moines Cycling","18.46","385","00:45:00","150","184","--","--","24.6","38.3","168","124","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:53.96","4","0.0","18.46","124","00:44:51","00:45:08","247","312"
Cycling,2023-11-29 16:09:13,false,"Urbandale Cycling","21.42","402","00:50:48","145","169","--","--","25.3","40.8","40","83","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:03.40","5","0.0","21.42","83","00:50:34","00:51:34","232","292"
Cycling,2023-11-29 05:37:52,false,"Des Moines Cycling","21.15","477","00:55:29","150","166","--","--","22.9","35.8","84","40","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:57.64","5","0.0","21.15","40","00:55:14","00:57:33","232","292"
Cycling,2023-11-28 17:22:54,false,"Johnston Cycling","19.33","398","00:54:01","144","173","--","--","21.5","31.8","32","52","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","12:55.72","4","0.0","19.33","52","00:51:53","00:56:35","232","264"
Cycling,2023-11-28 05:43:43,false,"Des Moines Cycling","18.31","577","01:01:23","161","179","--","--","17.9","27.2","111","122","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","11:43.10","4","0.0","18.31","122","01:00:54","01:13:51","247","359"
Cycling,2023-11-27 16:10:14,false,"Urbandale Cycling","21.23","404","00:53:17","145","186","--","--","23.9","40.1","44","73","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:01.31","5","0.0","21.23","73","00:52:47","00:58:33","232","292"
Cycling,2023-11-27 05:36:07,false,"Des Moines Cycling","21.14","589","01:03:21","159","179","--","--","20.0","28.9","83","39","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:10.04","5","0.0","21.14","39","01:03:02","01:06:07","238","292"
Cycling,2023-11-22 16:12:05,false,"Urbandale Cycling","21.40","307","00:55:08","125","154","--","--","23.3","41.2","30","74","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:14.100","5","0.0","21.40","74","00:54:53","00:56:39","232","292"
Cycling,2023-11-22 05:43:52,false,"Des Moines Cycling","21.29","455","00:55:48","146","173","--","--","22.9","32.6","79","37","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","03:23.12","5","0.0","21.29","37","00:55:29","00:58:45","238","292"
Virtual Cycling,2023-11-21 18:30:10,false,"Zwift - Wandering Flats in Makuri Islands","25.38","440","00:45:59","--","--","--","--","33.1","50.8","146","--","0.00","0.0","0.0","0","92","114","173","0.0","176","167","377","0.0","0.0","0","0","0","0:00","0.0","0:00","No","45:59.00","1","0.0","25.38","--","00:45:58","00:45:58","62","140"
Cycling,2023-11-21 17:11:46,false,"Johnston Cycling","20.07","253","00:43:59","121","162","--","--","27.4","37.0","32","61","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","00:19.67","5","0.0","20.07","61","00:43:38","00:45:52","232","274"
Cycling,2023-11-21 14:47:10,false,"Urbandale Cycling","3.87","79","00:09:35.1","139","165","--","--","24.2","31.1","10","33","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","09:35.08","1","0.0","3.87","33","00:09:32","00:10:08","262","292"
Cycling,2023-11-21 05:48:28,false,"Des Moines Cycling","18.33","410","00:46:23","151","172","--","--","23.7","35.1","110","68","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:54.60","4","0.0","18.33","68","00:46:07","00:46:57","247","298"
Virtual Cycling,2023-11-20 18:26:29,false,"Zwift - Casse-Pattes in France","24.27","457","00:43:07","--","--","--","--","33.8","62.0","154","--","0.00","0.0","0.0","0","95","116","194","0.0","202","184","410","0.0","0.0","0","0","0","0:00","0.0","0:00","No","43:07.00","1","0.0","24.27","--","00:43:05","00:43:06","10","121"
Cycling,2023-11-20 16:35:28,false,"Urbandale Cycling","21.37","410","00:52:27","145","172","--","--","24.4","37.9","35","79","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","04:24.03","5","0.0","21.37","79","00:52:11","00:56:01","232","292"
Cycling,2023-11-20 05:53:26,false,"Des Moines Cycling","21.31","417","00:50:49","145","163","--","--","25.2","34.1","66","25","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","02:49.60","5","0.0","21.31","25","00:50:41","00:50:58","232","292"
Cycling,2023-11-19 21:23:39,false,"Des Moines Cycling","8.46","169","00:19:00","150","169","--","--","26.7","43.1","46","82","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","07:26.51","2","0.0","8.46","82","00:18:50","00:20:00","239","292"
Cycling,2023-11-19 16:46:31,false,"Des Moines Cycling","12.78","278","00:34:59","145","179","--","--","21.9","35.8","87","49","0.00","0.0","0.0","0","--","--","--","0.0","--","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","No","08:24.82","3","0.0","12.78","49","00:34:43","00:37:27","237","293"
Virtual Cycling,2023-11-18 13:14:25,false,"Zwift - Cobbled Climbs in Richmond","10.16","215","00:18:58","--","--","--","--","32.1","65.8","145","--","0.00","0.0","0.0","0","98","120","209","0.0","--","198","347","0.0","0.0","0","0","0","0:00","0.0","0:00","No","18:58.00","1","0.0","10.16","--","00:18:54","00:18:55","4","55"
Virtual Cycling,2023-11-18 12:42:25,false,"Zwift - 2015 UCI Worlds Course in Richmond","17.19","333","00:31:40","--","--","--","--","32.6","66.1","168","--","0.00","0.0","0.0","0","97","113","198","0.0","200","183","455","0.0","0.0","0","0","0","0:00","0.0","0:00","No","31:40.00","1","0.0","17.19","--","00:31:38","00:31:39","4","65"
